name,geog,lung_cancer_rate_per100k
"Ottawa County, Ohio",39123,60.1
"Putnam County, Georgia",13237,60
"Butts County, Georgia",13035,60
"Lehigh County, Pennsylvania",42077,59.9
"Butler County, Alabama",01013,59.9
"Clarion County, Pennsylvania",42031,59.9
"Tangipahoa Parish, Louisiana",22105,59.9
"Navarro County, Texas",48349,59.9
"Morgan County, Georgia",13211,59.8
"Nemaha County, Nebraska",31127,59.8
"Monroe County, Iowa",19135,59.8
"Lincoln County, Maine",23015,59.8
"Leon County, Texas",48289,59.7
"Logan County, Oklahoma",40083,59.7
"Pinellas County, Florida",12103,59.7
"Oconee County, South Carolina",45073,59.7
"Holmes County, Florida",12059,59.6
"Floyd County, Iowa",19067,59.6
"Natchitoches Parish, Louisiana",22069,59.6
"New Haven County, Connecticut",09009,59.6
"Litchfield County, Connecticut",09005,59.5
"Seminole County, Oklahoma",40133,59.5
"Orange County, Vermont",50017,59.5
"Burnet County, Texas",48053,59.5
"Wayne County, Mississippi",28153,59.4
"Crawford County, Wisconsin",55023,59.4
"Shelby County, Iowa",19165,59.4
"Newton County, Arkansas",05101,59.4
"Kiowa County, Oklahoma",40075,59.4
"Milam County, Texas",48331,59.4
"Cowlitz County, Washington",53015,59.3
"Allendale County, South Carolina",45005,59.3
"Gentry County, Missouri",29075,59.3
"Saunders County, Nebraska",31155,59.3
"O'Brien County, Iowa",19141,59.2
"Mason County, Michigan",26105,59.2
"Hardee County, Florida",12049,59.2
"Chilton County, Alabama",01021,59.2
"Osage County, Missouri",29151,59.2
"Davison County, South Dakota",46035,59.2
"Keokuk County, Iowa",19107,59.2
"Berkeley County, South Carolina",45015,59.2
"Chambers County, Alabama",01017,59.2
"Macon County, North Carolina",37113,59.2
"Douglas County, Nebraska",31055,59.2
"Fannin County, Georgia",13111,59.2
"Duplin County, North Carolina",37061,59.1
"Hillsborough County, New Hampshire",33011,59.1
"Price County, Wisconsin",55099,59.1
"Anderson County, Texas",48001,59.1
"Huron County, Michigan",26063,59.1
"Wilkes County, Georgia",13317,59.1
"Marquette County, Wisconsin",55077,59.1
"Dutchess County, New York",36027,59.1
"Union County, Ohio",39159,59
"McIntosh County, Georgia",13191,59
"Delaware County, Pennsylvania",42045,59
"Sauk County, Wisconsin",55111,59
"Knox County, Missouri",29103,59
"Boone County, Missouri",29019,59
"Lauderdale County, Mississippi",28075,59
"Piatt County, Illinois",17147,59
"Essex County, Massachusetts",25009,58.9
"Davidson County, Tennessee",47037,58.9
"Walton County, Florida",12131,58.9
"Clay County, Mississippi",28025,58.9
"Northampton County, Pennsylvania",42095,58.9
"Jackson County, Texas",48239,58.8
"Ontario County, New York",36069,58.8
"Bacon County, Georgia",13005,58.8
"Oconto County, Wisconsin",55083,58.7
"Midland County, Michigan",26111,58.7
"Claiborne County, Mississippi",28021,58.7
"Lauderdale County, Alabama",01077,58.6
"Allegan County, Michigan",26005,58.6
"Mitchell County, North Carolina",37121,58.6
"Kenai Peninsula Borough, Alaska",02122,58.6
"Wyandot County, Ohio",39175,58.6
"St. Tammany Parish, Louisiana",22103,58.6
"San Augustine County, Texas",48405,58.6
"Nodaway County, Missouri",29147,58.6
"Gregg County, Texas",48183,58.5
"Lyon County, Kentucky",21143,58.5
"Lewis County, New York",36049,58.5
"Chowan County, North Carolina",37041,58.5
"Boyle County, Kentucky",21021,58.5
"Lincoln County, Tennessee",47103,58.5
"St. Louis County, Missouri",29189,58.4
"Summit County, Ohio",39153,58.4
"St. Charles County, Missouri",29183,58.3
"Clatsop County, Oregon",41007,58.3
"Calhoun County, West Virginia",54013,58.3
"Tioga County, Pennsylvania",42117,58.3
"Barry County, Michigan",26015,58.3
"Hancock County, Ohio",39063,58.3
"Wagoner County, Oklahoma",40145,58.3
"Crosby County, Texas",48107,58.3
"Tioga County, New York",36107,58.3
"Ashe County, North Carolina",37009,58.2
"Wayne County, Ohio",39169,58.2
"Attala County, Mississippi",28007,58.2
"Lincoln County, Colorado",08073,58.2
"St. Lucie County, Florida",12111,58.1
"Early County, Georgia",13099,58
"Cherokee County, Alabama",01019,58
"Cedar County, Iowa",19031,58
"Calvert County, Maryland",24009,57.9
"Waupaca County, Wisconsin",55135,57.9
"Lamar County, Mississippi",28073,57.9
"Vernon County, Wisconsin",55123,57.9
"Mahaska County, Iowa",19123,57.9
"Dakota County, Nebraska",31043,57.9
"Kalamazoo County, Michigan",26077,57.9
"Cheshire County, New Hampshire",33005,57.9
"Trinity County, California",06105,57.8
"Northampton County, North Carolina",37131,57.8
"Donley County, Texas",48129,57.8
"Richland County, North Dakota",38077,57.8
"Worcester County, Maryland",24047,57.7
"Skagit County, Washington",53057,57.6
"Georgetown County, South Carolina",45043,57.6
"Cumberland County, Illinois",17035,57.6
"Franklin County, Massachusetts",25011,57.6
"Moore County, North Carolina",37125,57.6
"Hamilton County, Iowa",19079,57.5
"Will County, Illinois",17197,57.5
"Franklin County, Mississippi",28037,57.4
"Lowndes County, Georgia",13185,57.4
"Burlington County, New Jersey",34005,57.4
"Kootenai County, Idaho",16055,57.4
"Dallas County, Alabama",01047,57.4
"Lincoln County, Wisconsin",55069,57.4
"Potter County, Pennsylvania",42105,57.3
"Bennington County, Vermont",50003,57.3
"Meriwether County, Georgia",13199,57.3
"Anson County, North Carolina",37007,57.3
"Braxton County, West Virginia",54007,57.3
"Ketchikan Gateway Borough, Alaska",02130,57.3
"Emmet County, Iowa",19063,57.3
"Douglas County, Georgia",13097,57.3
"Bond County, Illinois",17005,57.3
"Perquimans County, North Carolina",37143,57.3
"Sullivan County, Pennsylvania",42113,57.3
"Jefferson Parish, Louisiana",22051,57.2
"Glenn County, California",06021,57.2
"Galveston County, Texas",48167,57.2
"Sussex County, Delaware",10005,57.2
"Rutland County, Vermont",50021,57.2
"Jasper County, Texas",48241,57.2
"Mountrail County, North Dakota",38061,57.1
"Stephenson County, Illinois",17177,57.1
"Clinton County, Pennsylvania",42035,57.1
"McHenry County, Illinois",17111,57.1
"Snyder County, Pennsylvania",42109,57.1
"Tulsa County, Oklahoma",40143,57.1
"Llano County, Texas",48299,57
"Sussex County, New Jersey",34037,57
"McLennan County, Texas",48309,56.9
"Shasta County, California",06089,56.9
"Tyler County, Texas",48457,56.8
"Monroe County, Michigan",26115,56.8
"Nantucket County, Massachusetts",25019,56.8
"Cumberland County, Maine",23005,56.8
"New Hanover County, North Carolina",37129,56.8
"Brown County, South Dakota",46013,56.8
"Fillmore County, Nebraska",31059,56.8
"Hardin County, Iowa",19083,56.7
"Marion County, Oregon",41047,56.7
"Hillsborough County, Florida",12057,56.7
"Medina County, Ohio",39103,56.7
"Roger Mills County, Oklahoma",40129,56.7
"Warren County, North Carolina",37185,56.7
"Fairfield County, Ohio",39045,56.6
"Osage County, Oklahoma",40113,56.6
"Schuyler County, Missouri",29197,56.6
"Cass County, North Dakota",38017,56.5
"Middlesex County, Connecticut",09007,56.5
"Bristol County, Rhode Island",44001,56.5
"Bradford County, Pennsylvania",42015,56.4
"Coke County, Texas",48081,56.4
"Hall County, Georgia",13139,56.4
"Benton County, Arkansas",05007,56.4
"Tuscaloosa County, Alabama",01125,56.4
"Norfolk County, Massachusetts",25021,56.3
"Dodge County, Wisconsin",55027,56.3
"Eaton County, Michigan",26045,56.3
"Walworth County, Wisconsin",55127,56.3
"Isabella County, Michigan",26073,56.3
"Oklahoma County, Oklahoma",40109,56.3
"Platte County, Missouri",29165,56.3
"Marion County, Iowa",19125,56.3
"Bedford County, Pennsylvania",42009,56.3
"Winnebago County, Wisconsin",55139,56.3
"Pennington County, South Dakota",46103,56.3
"Swisher County, Texas",48437,56.2
"Calhoun County, South Carolina",45017,56.2
"Merrimack County, New Hampshire",33013,56.2
"Houston County, Georgia",13153,56.2
"Ellis County, Texas",48139,56.1
"Taylor County, Iowa",19173,56.1
"Grady County, Georgia",13131,56.1
"Washington County, Iowa",19183,56.1
"Caddo County, Oklahoma",40015,56.1
"Ward County, North Dakota",38101,56.1
"Gray County, Texas",48179,56
"Washington County, Rhode Island",44009,56
"Juniata County, Pennsylvania",42067,56
"Clayton County, Georgia",13063,56
"Mackinac County, Michigan",26097,56
"Hood County, Texas",48221,56
"Furnas County, Nebraska",31065,56
"Plymouth County, Iowa",19149,55.9
"Orangeburg County, South Carolina",45075,55.9
"Greene County, Missouri",29077,55.9
"Mahoning County, Ohio",39099,55.9
"Jefferson County, Wisconsin",55055,55.8
"Williamsburg County, South Carolina",45089,55.8
"Lake County, Oregon",41037,55.8
"Monongalia County, West Virginia",54061,55.8
"Anne Arundel County, Maryland",24003,55.8
"Bertie County, North Carolina",37015,55.7
"Dickinson County, Michigan",26043,55.7
"Allamakee County, Iowa",19005,55.7
"Cherokee County, Georgia",13057,55.6
"Monmouth County, New Jersey",34025,55.6
"Del Norte County, California",06015,55.6
"Coosa County, Alabama",01037,55.6
"Hartford County, Connecticut",09003,55.5
"Clallam County, Washington",53009,55.5
"Washington County, North Carolina",37187,55.5
"Walker County, Texas",48471,55.5
"Gogebic County, Michigan",26053,55.5
"Jackson County, Florida",12063,55.5
"Butler County, Pennsylvania",42019,55.5
"Harrison County, Iowa",19085,55.5
"Cambria County, Pennsylvania",42021,55.5
"Union County, North Carolina",37179,55.4
"Kossuth County, Iowa",19109,55.4
"Noble County, Ohio",39121,55.4
"Jefferson County, Oregon",41031,55.4
"Thurston County, Washington",53067,55.3
"Windsor County, Vermont",50027,55.3
"Adams County, Mississippi",28001,55.3
"Bucks County, Pennsylvania",42017,55.2
"Erath County, Texas",48143,55.2
"Lake County, Montana",30047,55.2
"McLean County, Illinois",17113,55.2
"Jackson County, North Carolina",37099,55.2
"Fulton County, Ohio",39051,55.2
"Westmoreland County, Pennsylvania",42129,55.2
"Barnstable County, Massachusetts",25001,55.2
"Pitt County, North Carolina",37147,55.2
"Canadian County, Oklahoma",40017,55.1
"Chatham County, Georgia",13051,55.1
"Butte County, South Dakota",46019,55.1
"Limestone County, Alabama",01083,55.1
"Somerset County, Pennsylvania",42111,55.1
"Hart County, Georgia",13147,55.1
"Dare County, North Carolina",37055,55
"Rabun County, Georgia",13241,55
"Hendry County, Florida",12051,55
"Lafayette Parish, Louisiana",22055,55
"Lincoln County, Nebraska",31111,55
"Wilkinson County, Mississippi",28157,55
"Dawson County, Georgia",13085,55
"Suffolk County, Massachusetts",25025,54.9
"Lancaster County, South Carolina",45057,54.9
"Stutsman County, North Dakota",38093,54.9
"Custer County, Montana",30017,54.9
"Jefferson County, Florida",12065,54.9
"Hutchinson County, Texas",48233,54.8
"Calhoun County, Iowa",19025,54.8
"Baca County, Colorado",08009,54.8
"Fayette County, Tennessee",47047,54.8
"Cheboygan County, Michigan",26031,54.8
"Shelby County, Tennessee",47157,54.7
"Lake County, South Dakota",46079,54.7
"Sabine County, Texas",48403,54.7
"Hale County, Alabama",01065,54.6
"Crook County, Wyoming",56011,54.6
"Dauphin County, Pennsylvania",42043,54.6
"Greene County, Georgia",13133,54.5
"Adams County, Idaho",16003,54.5
"Grant County, Oklahoma",40053,54.5
"Carroll County, Illinois",17015,54.5
"Snohomish County, Washington",53061,54.5
"Calhoun County, Texas",48057,54.5
"Burleigh County, North Dakota",38015,54.5
"Tolland County, Connecticut",09013,54.3
"Greene County, Ohio",39057,54.3
"Hall County, Nebraska",31079,54.3
"Warren County, Ohio",39165,54.3
"Otoe County, Nebraska",31131,54.3
"Woods County, Oklahoma",40151,54.2
"Clay County, Iowa",19041,54.2
"Darke County, Ohio",39037,54.2
"Tehama County, California",06103,54.2
"Silver Bow County, Montana",30093,54.2
"Currituck County, North Carolina",37053,54.2
"Houston County, Alabama",01069,54.1
"Hamilton County, Illinois",17065,54.1
"New Castle County, Delaware",10003,54.1
"Lee County, Arkansas",05077,54.1
"Anchorage Borough, Alaska",02020,54
"Sarasota County, Florida",12115,54
"Benzie County, Michigan",26019,53.9
"Florence County, Wisconsin",55037,53.9
"Menominee County, Michigan",26109,53.9
"Meade County, South Dakota",46093,53.9
"Hidalgo County, New Mexico",35023,53.9
"Clarke County, Georgia",13059,53.9
"Kent County, Michigan",26081,53.9
"Susquehanna County, Pennsylvania",42115,53.8
"Custer County, Oklahoma",40039,53.8
"Red Willow County, Nebraska",31145,53.8
"Klickitat County, Washington",53039,53.8
"Sheboygan County, Wisconsin",55117,53.8
"Charleston County, South Carolina",45019,53.8
"Lucas County, Iowa",19117,53.8
"Lenawee County, Michigan",26091,53.8
"Boundary County, Idaho",16021,53.7
"Grant County, Wisconsin",55043,53.7
"Barnwell County, South Carolina",45011,53.7
"Phelps County, Nebraska",31137,53.7
"Alfalfa County, Oklahoma",40003,53.7
"Coweta County, Georgia",13077,53.7
"Winkler County, Texas",48495,53.7
"Nacogdoches County, Texas",48347,53.7
"Cameron County, Pennsylvania",42023,53.7
"Neshoba County, Mississippi",28099,53.6
"Kendall County, Illinois",17093,53.6
"Douglas County, Oregon",41019,53.6
"Shelby County, Ohio",39149,53.6
"St. Johns County, Florida",12109,53.5
"Union County, Pennsylvania",42119,53.5
"Richland County, Wisconsin",55103,53.5
"Klamath County, Oregon",41035,53.5
"Van Wert County, Ohio",39161,53.5
"Cameron Parish, Louisiana",22023,53.4
"Madison County, Mississippi",28089,53.4
"Curry County, Oregon",41015,53.4
"Howard County, Arkansas",05061,53.4
"Lincoln County, South Dakota",46083,53.4
"Pend Oreille County, Washington",53051,53.3
"Grimes County, Texas",48185,53.3
"Muskegon County, Michigan",26121,53.3
"Greenlee County, Arizona",04011,53.3
"Roosevelt County, Montana",30085,53.3
"Columbia County, Washington",53013,53.3
"Glacier County, Montana",30035,53.3
"Delaware County, Oklahoma",40041,53.3
"La Crosse County, Wisconsin",55063,53.3
"Hampton County, South Carolina",45049,53.2
"Jefferson County, Alabama",01073,53.2
"Talbot County, Georgia",13263,53.2
"Alachua County, Florida",12001,53.2
"Sumter County, Florida",12119,53.1
"Lyon County, Iowa",19119,53.1
"Valdez-Cordova Census Area, Alaska",02261,53.1
"Jack County, Texas",48237,53
"Clay County, Texas",48077,53
"Sheridan County, Montana",30091,53
"Matanuska-Susitna Borough, Alaska",02170,52.9
"Marquette County, Michigan",26103,52.9
"Yellowstone County, Montana",30111,52.9
"Atchison County, Missouri",29005,52.9
"Adams County, Iowa",19003,52.9
"Dewey County, Oklahoma",40043,52.9
"Ransom County, North Dakota",38073,52.9
"Knox County, Maine",23013,52.9
"Henry County, Georgia",13151,52.9
"Archer County, Texas",48009,52.8
"Carroll County, Iowa",19027,52.8
"Green County, Wisconsin",55045,52.8
"Torrance County, New Mexico",35057,52.8
"Bethel Census Area, Alaska",02050,52.8
"Stewart County, Georgia",13259,52.7
"Dallas County, Iowa",19049,52.7
"Monroe County, Alabama",01099,52.7
"Union County, Georgia",13291,52.7
"Linn County, Oregon",41043,52.7
"Live Oak County, Texas",48297,52.7
"DeKalb County, Alabama",01049,52.7
"Noxubee County, Mississippi",28103,52.7
"Sarpy County, Nebraska",31153,52.6
"Valley County, Montana",30105,52.6
"Washington County, Arkansas",05143,52.6
"Buffalo County, Wisconsin",55011,52.6
"Glades County, Florida",12043,52.6
"Warren County, Iowa",19181,52.5
"Wood County, Wisconsin",55141,52.5
"Columbia County, Wisconsin",55021,52.5
"Fremont County, Colorado",08043,52.5
"Jefferson County, Texas",48245,52.5
"Madison County, Alabama",01089,52.5
"Richland County, South Carolina",45079,52.5
"Henderson County, North Carolina",37089,52.4
"Luce County, Michigan",26095,52.4
"Platte County, Nebraska",31141,52.4
"Sagadahoc County, Maine",23023,52.4
"Carroll County, Maryland",24013,52.4
"LaMoure County, North Dakota",38045,52.4
"Tillamook County, Oregon",41057,52.3
"Jackson County, Oregon",41029,52.3
"Ingham County, Michigan",26065,52.3
"Dubuque County, Iowa",19061,52.2
"Broadwater County, Montana",30007,52.2
"Callahan County, Texas",48059,52.2
"Antrim County, Michigan",26009,52.2
"Charles County, Maryland",24017,52.2
"Cook County, Illinois",17031,52.2
"Caledonia County, Vermont",50005,52.2
"Natrona County, Wyoming",56025,52.2
"Douglas County, Missouri",29067,52.2
"Clark County, Wisconsin",55019,52.2
"Polk County, Nebraska",31143,52.1
"Middlesex County, Massachusetts",25017,52.1
"Eastland County, Texas",48133,52.1
"Dawson County, Montana",30021,52.1
"Tompkins County, New York",36109,52.1
"Cumberland County, Pennsylvania",42041,52.1
"Harris County, Georgia",13145,52
"Montgomery County, Alabama",01101,52
"Tom Green County, Texas",48451,52
"Ontonagon County, Michigan",26131,52
"Marathon County, Wisconsin",55073,52
"Kleberg County, Texas",48273,52
"Livingston County, Michigan",26093,51.9
"Kitsap County, Washington",53035,51.9
"Pulaski County, Georgia",13235,51.9
"Kerr County, Texas",48265,51.9
"Cleveland County, Oklahoma",40027,51.9
"Howard County, Texas",48227,51.8
"Lewis County, Washington",53041,51.8
"Butte County, California",06007,51.8
"Keith County, Nebraska",31101,51.8
"Big Horn County, Montana",30003,51.8
"Lebanon County, Pennsylvania",42075,51.8
"Waller County, Texas",48473,51.8
"Columbia County, Arkansas",05027,51.8
"Lee County, Texas",48287,51.7
"Pembina County, North Dakota",38067,51.7
"Houston County, Texas",48225,51.6
"Elk County, Pennsylvania",42047,51.5
"Fond du Lac County, Wisconsin",55039,51.5
"Grand Traverse County, Michigan",26055,51.5
"Windham County, Vermont",50025,51.5
"Martin County, Florida",12085,51.5
"Christian County, Missouri",29043,51.5
"Grafton County, New Hampshire",33009,51.5
"Brown County, Wisconsin",55009,51.4
"Queen Annes County, Maryland",24035,51.4
"Franklin County, Pennsylvania",42055,51.4
"Sheridan County, Nebraska",31161,51.4
"Champaign County, Illinois",17019,51.4
"Multnomah County, Oregon",41051,51.4
"Seminole County, Florida",12117,51.4
"Cascade County, Montana",30013,51.3
"Newport County, Rhode Island",44005,51.3
"Wright County, Iowa",19197,51.3
"Putnam County, Ohio",39137,51.3
"St. Croix County, Wisconsin",55109,51.3
"Douglas County, Washington",53017,51.3
"Washington County, Idaho",16087,51.3
"Greenville County, South Carolina",45045,51.2
"Garfield County, Oklahoma",40047,51.2
"Taylor County, Texas",48441,51.1
"Quay County, New Mexico",35037,51.1
"Oceana County, Michigan",26127,51.1
"Spink County, South Dakota",46115,51.1
"Durham County, North Carolina",37063,51.1
"Mineral County, West Virginia",54057,51.1
"Gonzales County, Texas",48177,51.1
"Macon County, Alabama",01087,51
"Brazoria County, Texas",48039,51
"Saline County, Nebraska",31151,51
"Nuckolls County, Nebraska",31129,51
"Lincoln Parish, Louisiana",22061,51
"Lincoln County, Oregon",41041,51
"Orleans Parish, Louisiana",22071,50.9
"Luna County, New Mexico",35029,50.9
"Adams County, Nebraska",31001,50.8
"Door County, Wisconsin",55029,50.8
"Chouteau County, Montana",30015,50.8
"Nassau County, New York",36059,50.7
"Woodward County, Oklahoma",40153,50.7
"Pondera County, Montana",30073,50.6
"Stone County, Missouri",29209,50.6
"San Patricio County, Texas",48409,50.5
"Jackson County, Oklahoma",40065,50.5
"Emmet County, Michigan",26047,50.5
"Iowa County, Wisconsin",55049,50.5
"Mercer County, New Jersey",34021,50.5
"Washington County, Wisconsin",55131,50.5
"Sutter County, California",06101,50.5
"Clark County, South Dakota",46025,50.4
"Baraga County, Michigan",26013,50.4
"Humboldt County, California",06023,50.4
"Dickinson County, Iowa",19059,50.4
"Otero County, New Mexico",35035,50.3
"Ector County, Texas",48135,50.3
"Amador County, California",06005,50.3
"Victoria County, Texas",48469,50.2
"Jo Daviess County, Illinois",17085,50.2
"DeWitt County, Texas",48123,50.2
"Toole County, Montana",30101,50.2
"Lake County, Illinois",17097,50.2
"Oakland County, Michigan",26125,50.1
"Tama County, Iowa",19171,50.1
"Alger County, Michigan",26003,50.1
"Canyon County, Idaho",16027,50.1
"Sevier County, Arkansas",05133,50.1
"Chelan County, Washington",53007,50
"Outagamie County, Wisconsin",55087,50
"Lewis and Clark County, Montana",30049,50
"Hampshire County, Massachusetts",25015,50
"Franklin County, Iowa",19069,50
"Lee County, Florida",12071,49.9
"Madison County, Nebraska",31119,49.9
"Rusk County, Wisconsin",55107,49.9
"Monroe County, Illinois",17133,49.9
"Hancock County, Iowa",19081,49.8
"Manatee County, Florida",12081,49.7
"Tarrant County, Texas",48439,49.7
"Campbell County, Wyoming",56005,49.7
"Saluda County, South Carolina",45081,49.7
"Sierra County, New Mexico",35051,49.6
"Avery County, North Carolina",37011,49.6
"Eau Claire County, Wisconsin",55035,49.6
"Mercer County, Ohio",39107,49.6
"East Baton Rouge Parish, Louisiana",22033,49.5
"Barnes County, North Dakota",38003,49.5
"Day County, South Dakota",46037,49.5
"Greer County, Oklahoma",40055,49.5
"Geauga County, Ohio",39055,49.5
"Montgomery County, Texas",48339,49.5
"Colusa County, California",06011,49.5
"Jenkins County, Georgia",13165,49.4
"Montgomery County, Pennsylvania",42091,49.4
"Barton County, Missouri",29011,49.4
"Flathead County, Montana",30029,49.4
"Butler County, Iowa",19023,49.4
"Ochiltree County, Texas",48357,49.3
"Sanders County, Montana",30089,49.3
"Waukesha County, Wisconsin",55133,49.2
"Marengo County, Alabama",01091,49.2
"Whatcom County, Washington",53073,49.2
"Wood County, Ohio",39173,49.1
"Madison County, Iowa",19121,49.1
"Childress County, Texas",48075,49.1
"Addison County, Vermont",50001,49
"Yamhill County, Oregon",41071,49
"Taylor County, Wisconsin",55119,48.9
"Lancaster County, Pennsylvania",42071,48.9
"Bayfield County, Wisconsin",55007,48.9
"Chittenden County, Vermont",50007,48.8
"Kingsbury County, South Dakota",46077,48.7
"Houghton County, Michigan",26061,48.7
"Orange County, North Carolina",37135,48.7
"Camden County, North Carolina",37029,48.7
"Winnebago County, Iowa",19189,48.7
"Calumet County, Wisconsin",55015,48.6
"Columbia County, Georgia",13073,48.6
"Howard County, Nebraska",31093,48.6
"Forsyth County, Georgia",13117,48.6
"Island County, Washington",53029,48.6
"Lancaster County, Nebraska",31109,48.6
"Stark County, North Dakota",38089,48.5
"Grant County, Washington",53025,48.5
"Wake County, North Carolina",37183,48.5
"Adams County, Colorado",08001,48.5
"Leon County, Florida",12073,48.5
"Monroe County, Florida",12087,48.4
"Mecklenburg County, North Carolina",37119,48.4
"Rockwall County, Texas",48397,48.4
"Curry County, New Mexico",35009,48.3
"Guadalupe County, Texas",48187,48.3
"Randall County, Texas",48381,48.3
"Washington County, Nebraska",31177,48.3
"St. Charles Parish, Louisiana",22089,48.2
"Scotland County, Missouri",29199,48.2
"Rockland County, New York",36087,48.2
"Traill County, North Dakota",38097,48.1
"Presque Isle County, Michigan",26141,48.1
"Terry County, Texas",48445,48.1
"Siskiyou County, California",06093,48.1
"Clark County, Washington",53011,48
"Pueblo County, Colorado",08101,48
"Pointe Coupee Parish, Louisiana",22077,48
"Antelope County, Nebraska",31003,48
"York County, Nebraska",31185,47.9
"Goliad County, Texas",48175,47.9
"Johnson County, Nebraska",31097,47.9
"Stevens County, Washington",53065,47.8
"Gem County, Idaho",16045,47.8
"Lubbock County, Texas",48303,47.7
"Osceola County, Florida",12097,47.7
"Jefferson County, Montana",30043,47.7
"Bonner County, Idaho",16017,47.7
"Blaine County, Oklahoma",40011,47.6
"Cobb County, Georgia",13067,47.6
"Juneau Borough, Alaska",02110,47.6
"Bee County, Texas",48025,47.5
"Gooding County, Idaho",16047,47.5
"Caldwell County, Texas",48055,47.5
"Comanche County, Texas",48093,47.5
"Wilbarger County, Texas",48487,47.5
"Harlan County, Nebraska",31083,47.4
"Ozaukee County, Wisconsin",55089,47.4
"Solano County, California",06095,47.4
"Mesa County, Colorado",08077,47.4
"Crawford County, Iowa",19047,47.3
"Sac County, Iowa",19161,47.3
"Aiken County, South Carolina",45003,47.2
"Clackamas County, Oregon",41005,47.2
"Burt County, Nebraska",31021,47.2
"Yoakum County, Texas",48501,47.2
"Tuolumne County, California",06109,47.2
"DuPage County, Illinois",17043,47.2
"Talbot County, Maryland",24041,47.1
"Charlevoix County, Michigan",26029,47.1
"Southeast Fairbanks Census Area, Alaska",02240,47.1
"Polk County, Oregon",41053,47.1
"Scotts Bluff County, Nebraska",31157,47
"Rosebud County, Montana",30087,46.9
"Cochise County, Arizona",04003,46.9
"Stanislaus County, California",06099,46.9
"Calhoun County, Georgia",13037,46.9
"Fulton County, Georgia",13121,46.8
"Lea County, New Mexico",35025,46.8
"Dane County, Wisconsin",55025,46.8
"Kane County, Illinois",17089,46.7
"Bandera County, Texas",48019,46.7
"Box Butte County, Nebraska",31013,46.6
"Dawson County, Nebraska",31047,46.6
"Twin Falls County, Idaho",16083,46.6
"Chester County, Pennsylvania",42029,46.6
"Lafayette County, Mississippi",28071,46.5
"Johnson County, Wyoming",56019,46.5
"Calaveras County, California",06009,46.5
"Davis County, Iowa",19051,46.5
"Catahoula Parish, Louisiana",22025,46.4
"Spokane County, Washington",53063,46.4
"Merrick County, Nebraska",31121,46.3
"Pierce County, Wisconsin",55093,46.3
"St. John the Baptist Parish, Louisiana",22095,46.1
"Idaho County, Idaho",16049,46.1
"Chaves County, New Mexico",35005,46.1
"Hale County, Texas",48189,46
"Frederick County, Maryland",24021,46
"Sacramento County, California",06067,46
"Dallas County, Texas",48113,45.9
"Middlesex County, New Jersey",34023,45.9
"Orange County, Florida",12095,45.9
"Benewah County, Idaho",16009,45.8
"Cuming County, Nebraska",31039,45.8
"Floyd County, Texas",48153,45.8
"Yakima County, Washington",53077,45.7
"Lawrence County, South Dakota",46081,45.7
"Musselshell County, Montana",30065,45.7
"Holt County, Missouri",29087,45.6
"Lee County, Alabama",01081,45.6
"La Paz County, Arizona",04012,45.6
"Delaware County, Ohio",39041,45.5
"Laramie County, Wyoming",56021,45.5
"Shawano County, Wisconsin",55115,45.4
"Duchesne County, Utah",49013,45.4
"Jefferson County, Iowa",19101,45.4
"Cedar County, Nebraska",31027,45.4
"Bergen County, New Jersey",34003,45.4
"Shelby County, Alabama",01117,45.4
"Bent County, Colorado",08011,45.4
"Kingfisher County, Oklahoma",40073,45.3
"Grundy County, Iowa",19075,45.3
"Telfair County, Georgia",13271,45.3
"Charles Mix County, South Dakota",46023,45.2
"Chatham County, North Carolina",37037,45.2
"Kendall County, Texas",48259,45.1
"Fairfield County, Connecticut",09001,45.1
"Latah County, Idaho",16057,45.1
"Sitka Borough, Alaska",02220,45
"Washtenaw County, Michigan",26161,45
"Kemper County, Mississippi",28069,45
"Austin County, Texas",48015,45
"Westchester County, New York",36119,44.8
"Wayne County, Nebraska",31179,44.7
"Portage County, Wisconsin",55097,44.7
"Yankton County, South Dakota",46135,44.7
"Valley County, Nebraska",31175,44.6
"Ada County, Idaho",16001,44.5
"Lavaca County, Texas",48285,44.5
"Lane County, Oregon",41039,44.5
"Haskell County, Texas",48207,44.5
"Major County, Oklahoma",40093,44.4
"Buffalo County, Nebraska",31019,44.4
"Morris County, New Jersey",34027,44.4
"Tillman County, Oklahoma",40141,44.4
"Jasper County, South Carolina",45053,44.4
"Bottineau County, North Dakota",38009,44.4
"Umatilla County, Oregon",41059,44.3
"Morrow County, Oregon",41049,44.2
"Runnels County, Texas",48399,44.2
"Rockdale County, Georgia",13247,44.1
"Indiana County, Pennsylvania",42063,44.1
"Calhoun County, Illinois",17013,44.1
"Edgefield County, South Carolina",45037,44.1
"Kodiak Island Borough, Alaska",02150,44
"Hardy County, West Virginia",54031,43.9
"Lafayette County, Wisconsin",55065,43.9
"Palm Beach County, Florida",12099,43.8
"Jefferson County, Washington",53031,43.8
"Gates County, North Carolina",37073,43.7
"Seward County, Nebraska",31159,43.7
"Logan County, Colorado",08075,43.7
"Kewaunee County, Wisconsin",55061,43.7
"Karnes County, Texas",48255,43.6
"Custer County, Idaho",16037,43.5
"Gwinnett County, Georgia",13135,43.5
"Passaic County, New Jersey",34031,43.4
"Butler County, Nebraska",31023,43.4
"Clayton County, Iowa",19043,43.4
